call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
655490	NULL	NULL	51.091	4.125	NULL	NULL	5-6	9220	Hamme	België	2026-05-01 18:00:00	0	2026-05-01 17:25:17	2026-05-01 17:25:17
655497	NULL	NULL	51.012	4.059	51.012	4.059	5-6	9200	Dendermonde	België	2026-05-01 18:45:00	0	2026-05-01 17:26:06	2026-05-01 17:26:06
655498	NULL	NULL	51.063	4.021	51.063	4.021	3-4	9240	Zele	België	2026-05-01 18:30:00	0	2026-05-01 17:26:07	2026-05-01 17:26:07
655499	NULL	NULL	51.162	4.117	NULL	NULL	3-4	9111	Sint-Niklaas	België	2026-05-01 19:00:00	0	2026-05-01 17:26:12	2026-05-01 17:26:12
655501	NULL	NULL	51.1	3.991	NULL	NULL	3-4	9160	Lokeren	België	2026-05-01 18:00:00	0	2026-05-01 17:26:20	2026-05-01 17:26:20
655518	NULL	NULL	51.099	4.242	51.096	4.249	1-2	2880	Bornem	België	2026-05-01 18:30:00	0	2026-05-01 17:29:03	2026-05-01 17:29:03
655520	NULL	NULL	51.074	4.164	51.074	4.168	1-2	9220	Hamme	België	2026-05-01 17:45:00	1	2026-05-01 17:29:26	2026-05-01 17:29:26
655521	168053	103	51.114	3.981	51.114	3.981	5-6	9160	Lokeren	België	2026-05-01 18:30:00	0	2026-05-01 17:29:33	2026-05-01 17:59:32
655522	NULL	NULL	51.088	4.138	51.088	4.138	1-2	9220	Hamme	België	2026-05-01 18:00:00	0	2026-05-01 17:29:56	2026-05-01 17:29:56
655523	NULL	NULL	51.067	4.285	51.068	4.284	1-2	2870	Puurs-Sint-Amands	België	2026-05-01 18:00:00	0	2026-05-01 17:30:09	2026-05-01 17:30:09
655528	NULL	NULL	51.049	4.198	NULL	NULL	1-2	2890	Sint-Amands	België	2026-05-01 19:00:00	0	2026-05-01 17:30:36	2026-05-01 17:30:36
655531	NULL	NULL	50.988	4.143	NULL	NULL	3-4	9280	Lebbeke	België	2026-05-01 19:30:00	0	2026-05-01 17:30:55	2026-05-01 17:30:55
655532	168104	8	50.992	4.138	NULL	NULL	3-4	9280	Lebbeke	België	2026-05-01 19:00:00	0	2026-05-01 17:31:02	2026-05-01 18:46:31
655534	NULL	NULL	51.093	3.989	51.093	3.989	1-2	9160	Lokeren	België	2026-05-01 18:30:00	0	2026-05-01 17:31:11	2026-05-01 17:31:11
655537	NULL	NULL	51.074	4.282	51.074	4.282	1-2	2870	Puurs-Sint-Amands	België	2026-05-01 18:30:00	0	2026-05-01 17:31:25	2026-05-01 17:31:25
655539	NULL	NULL	51.092	4.248	51.09	4.275	1-2	2880	Bornem	België	2026-05-01 18:30:00	0	2026-05-01 17:31:33	2026-05-01 17:31:33
655544	NULL	NULL	51.14	4.292	51.14	4.292	1-2	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 20:00:00	0	2026-05-01 17:31:55	2026-05-01 17:31:55
655547	NULL	NULL	51.115	4.095	NULL	NULL	1-2	9250	Waasmunster	België	2026-05-01 19:00:00	0	2026-05-01 17:32:17	2026-05-01 17:32:17
655548	NULL	NULL	51.097	3.991	51.097	3.991	3-4	9160	Lokeren	België	2026-05-01 18:30:00	0	2026-05-01 17:32:31	2026-05-01 17:32:31
655554	NULL	NULL	51.105	3.996	51.105	3.996	1-2	9160	Lokeren	België	2026-05-01 18:00:00	0	2026-05-01 17:33:27	2026-05-01 17:33:27
655555	NULL	NULL	51.094	4.243	51.094	4.243	3-4	2880	Bornem	België	2026-05-01 20:30:00	0	2026-05-01 17:33:33	2026-05-01 17:33:33
655560	NULL	NULL	51.086	4.217	51.086	4.217	5-6	2880	Bornem	België	2026-05-01 18:30:00	0	2026-05-01 17:33:50	2026-05-01 17:33:50
655561	NULL	NULL	51.223	4.25	51.223	4.25	7-8	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 19:00:00	0	2026-05-01 17:33:51	2026-05-01 17:33:51
655562	NULL	NULL	51.102	4.267	51.102	4.267	10+	2880	Bornem	België	2026-05-01 21:00:00	0	2026-05-01 17:34:00	2026-05-01 17:34:00
655565	NULL	NULL	51.114	4.115	51.114	4.115	1-2	9250	Waasmunster	België	2026-05-01 20:00:00	0	2026-05-01 17:34:33	2026-05-01 17:34:33
655568	NULL	NULL	51.116	4.097	51.116	4.096	3-4	9250	Waasmunster	België	2026-05-01 20:45:00	0	2026-05-01 17:34:43	2026-05-01 17:34:43
655569	NULL	NULL	51.062	4.15	NULL	NULL	1-2	9220	Hamme	België	2026-05-01 20:00:00	0	2026-05-01 17:34:44	2026-05-01 17:34:44
655570	168071	14	51.092	4.135	51.092	4.136	5-6	9220	Hamme	België	2026-05-01 19:00:00	0	2026-05-01 17:34:55	2026-05-01 18:49:09
655571	NULL	NULL	51.158	4.139	51.157	4.139	1-2	9100	Sint-Niklaas	België	2026-05-01 18:30:00	0	2026-05-01 17:35:06	2026-05-01 17:35:06
655572	NULL	NULL	51.002	4.127	51.002	4.127	3-4	9280	Lebbeke	België	2026-05-01 18:00:00	1	2026-05-01 17:35:24	2026-05-01 17:35:24
655573	NULL	NULL	50.996	4.147	50.996	4.148	5-6	9280	Lebbeke	België	2026-05-01 19:15:00	0	2026-05-01 17:35:51	2026-05-01 17:35:51
