call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
656829	NULL	NULL	51.214	4.262	51.214	4.262	1-2	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 14:30:00	0	2026-05-02 14:10:06	2026-05-02 14:10:06
656833	NULL	NULL	51.069	4.035	NULL	NULL	3-4	9240	Zele	België	2026-05-02 16:00:00	0	2026-05-02 14:11:38	2026-05-02 14:11:38
656836	NULL	NULL	51.151	3.961	NULL	NULL	7-8	9160	Lokeren	België	2026-05-02 15:45:00	0	2026-05-02 14:13:40	2026-05-02 14:13:40
656837	NULL	NULL	51.098	4.244	51.098	4.244	1-2	2880	Bornem	België	2026-05-02 14:30:00	1	2026-05-02 14:13:40	2026-05-02 14:13:40
656840	168198	8	51.128	4.292	51.128	4.292	3-4	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 17:00:00	0	2026-05-02 14:17:58	2026-05-02 14:33:51
656844	NULL	NULL	51.087	3.991	51.087	3.991	3-4	9160	Lokeren	België	2026-05-02 15:45:00	0	2026-05-02 14:19:49	2026-05-02 14:19:49
656846	168240	5	51.002	4.127	51.002	4.127	1-2	9280	Lebbeke	België	2026-05-02 19:30:00	0	2026-05-02 14:22:14	2026-05-02 18:27:48
656848	168188	5	51.054	4.107	51.054	4.107	3-4	9200	Dendermonde	België	2026-05-02 14:30:00	0	2026-05-02 14:23:41	2026-05-02 14:31:51
656849	NULL	NULL	51.214	4.317	51.214	4.317	3-4	2070	Zwijndrecht	België	2026-05-02 14:30:00	0	2026-05-02 14:25:00	2026-05-02 14:25:00
656853	NULL	NULL	51.057	4.02	51.057	4.02	3-4	9240	Zele	België	2026-05-02 16:00:00	0	2026-05-02 14:28:34	2026-05-02 14:28:34
656854	NULL	NULL	51.157	4.133	51.157	4.133	3-4	9100	Sint-Niklaas	België	2026-05-02 14:45:00	0	2026-05-02 14:29:57	2026-05-02 14:29:57
656855	NULL	NULL	51.098	4.242	NULL	NULL	1-2	2880	Bornem	België	2026-05-02 15:30:00	1	2026-05-02 14:30:19	2026-05-02 14:30:19
656858	NULL	NULL	51.176	3.936	51.177	3.936	5-6	9180	Lokeren	België	2026-05-02 15:00:00	0	2026-05-02 14:32:29	2026-05-02 14:32:29
656860	NULL	NULL	51.092	4.248	51.092	4.248	1-2	2880	Bornem	België	2026-05-02 15:30:00	0	2026-05-02 14:34:07	2026-05-02 14:34:07
656863	NULL	NULL	51.098	4.244	NULL	NULL	1-2	2880	Bornem	België	2026-05-02 15:00:00	1	2026-05-02 14:36:19	2026-05-02 14:36:19
656865	168133	103	51.093	4.004	51.093	4.004	7-8	9160	Lokeren	België	2026-05-02 16:15:00	0	2026-05-02 14:37:28	2026-05-02 15:03:44
656869	NULL	NULL	51.124	4.206	51.124	4.206	5-6	9140	Temse	België	2026-05-02 18:30:00	0	2026-05-02 14:43:29	2026-05-02 14:43:29
656871	NULL	NULL	51.101	4.239	51.101	4.239	1-2	2880	Bornem	België	2026-05-02 15:00:00	1	2026-05-02 14:44:11	2026-05-02 14:44:11
656873	NULL	NULL	51.114	4.144	NULL	NULL	3-4	9140	Elversele	België	2026-05-02 17:00:00	0	2026-05-02 14:46:02	2026-05-02 14:46:02
656875	168195	102	51.209	4.349	51.209	4.349	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 20:00:00	0	2026-05-02 14:47:03	2026-05-02 16:48:50
656876	NULL	NULL	51.065	4.045	51.065	4.044	1-2	9240	Zele	België	2026-05-02 15:00:00	0	2026-05-02 14:47:39	2026-05-02 14:47:39
656877	NULL	NULL	51.06	4.017	51.06	4.017	3-4	9240	Zele	België	2026-05-02 15:30:00	0	2026-05-02 14:47:58	2026-05-02 14:47:58
656878	168188	5	51.02	4.125	NULL	NULL	7-8	9200	Dendermonde	België	2026-05-02 15:30:00	0	2026-05-02 14:49:41	2026-05-02 15:37:39
656879	NULL	NULL	51.105	3.968	51.105	3.969	1-2	9160	Lokeren	België	2026-05-02 16:00:00	1	2026-05-02 14:49:54	2026-05-02 14:49:54
656881	168163	13	51.107	3.972	51.107	3.973	3-4	9160	Lokeren	België	2026-05-02 15:15:00	1	2026-05-02 14:50:41	2026-05-02 15:06:23
656883	NULL	NULL	51.02	4.123	51.02	4.123	5-6	9200	Dendermonde	België	2026-05-02 16:00:00	0	2026-05-02 14:51:26	2026-05-02 14:51:26
656890	168198	8	51.134	4.275	51.134	4.275	1-2	9140	Temse	België	2026-05-02 17:30:00	0	2026-05-02 14:57:41	2026-05-02 14:58:40
656892	168195	102	51.209	4.349	51.209	4.349	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 20:00:00	0	2026-05-02 14:58:04	2026-05-02 16:16:58
